Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
9476,3kgCFhVnBZbmdBx5LiGfsF,Nação Zumbi;Marisa Monte,Nação Zumbi,A Melhor Hora da Praia,44,199693,False,0.552,0.649,7,-8.352,0,0.0339,0.226,1.7e-05,0.128,0.682,89.887,4,brazil
5260,7DZb7cKZSXe0diWbkxLS2e,Kijugo,My War but is it okay if it's lofi?,My War but is it okay if it's lofi?,50,101355,False,0.898,0.389,9,-18.108,1,0.109,0.853,0.709,0.107,0.573,130.02,4,anime
5170,1ZGmDs16vtSI0nlxDFljFK,BURNOUT SYNDROMES,BURNOUT SYNDROMEZ,PHOENIX,58,246813,False,0.493,0.947,0,-0.717,1,0.0701,0.111,0.0,0.345,0.656,137.124,4,anime
5317,6KOkY9jzMfe28e2likaoWC,Kato,One Piece Vibes,To the Grand Line,48,118461,False,0.516,0.485,0,-10.219,1,0.0301,0.0159,0.76,0.185,0.27,78.04,4,anime
7091,5YoTXDXaj4gBsPEVAuoCJ7,Balsam Range,Marching Home,Burning Georgia Down,31,233600,False,0.608,0.694,6,-7.936,0,0.0318,0.564,0.0061,0.196,0.623,126.043,4,bluegrass
3197,4OtSo1ZTQWRWE53ZvBfBTV,R.E.M.,90's Music Grandi Successi,It's The End Of The World As We Know It (And I Feel Fine),0,246933,False,0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,4,alternative
7479,4cjBzFUy1MwoteHXgtHqhP,Pickin' On Series;Iron Horse,Pickin' on Modest Mouse,World at Large,24,219746,False,0.575,0.846,7,-7.464,1,0.0381,0.101,0.000408,0.272,0.829,152.454,4,bluegrass
2022,52cFhaPuS5oLrmFoJw4J9j,The Killers,Rock Workout 2023,Mr. Brightside,2,223973,False,0.344,0.931,1,-3.759,1,0.0783,0.00104,0.0,0.0903,0.251,148.104,4,alt-rock
9915,0e667Y3Yg5mV2Q63S7VBvE,Major RD;Raffé,Carro Bicho,Carro Bicho,43,185388,True,0.776,0.765,9,-6.542,1,0.255,0.35,0.0,0.194,0.432,134.151,4,brazil
4975,6M61Wwn20lMTDOWIE28HtL,Project AER;v i v,How Are You? I'm Okay,Little Lights,5,166999,False,0.547,0.163,6,-19.722,0,0.0294,0.842,0.946,0.166,0.179,129.978,4,ambient
7770,2zQru5X2fXa3oPjAt9vkSx,The Wood Brothers,The Muse,Sweet Maria,24,258493,False,0.447,0.25,6,-11.624,1,0.0324,0.734,0.000928,0.307,0.115,132.187,4,bluegrass
7655,4y66w83Zov7ud3jyootbLl,Andy Thorn,Songs of the Sunrise Fox,The Morning Light,22,85026,False,0.525,0.285,10,-17.408,1,0.0647,0.993,0.74,0.118,0.95,119.309,3,bluegrass
11386,3RLIs8OZ3tPjlr25QiAkYn,Lorne Balfe,Pennyworth: The Origin of Batman's Butler - Season 3 (Soundtrack from the HBO® Max Original Series),Virginia Devereaux,4,162933,False,0.304,0.303,4,-20.462,0,0.048,0.638,0.839,0.111,0.0398,76.971,4,british
5965,4DPovSJonVPid3EDSxL9K8,Belle,Belle (Original Motion Picture Soundtrack),歌よ,52,239263,False,0.314,0.277,4,-12.458,0,0.0364,0.467,0.0216,0.157,0.161,87.004,3,anime
3659,0W7KIc2GSB9suYQAaMZ9rF,Casting Crowns;Matthew West,Only Jesus,Nobody (feat. Matthew West),67,206400,False,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,4,alternative
10415,6hD1lARCz4NqHCmGXHYpy7,Uberzone,Ideology,Vibrate,14,306186,False,0.699,0.89,0,-6.248,1,0.0436,0.000154,0.75,0.0468,0.222,132.004,4,breakbeat
3717,2oaK4JLVnmRGIO9ytBE1bt,Red Hot Chili Peppers,The Getaway,Dark Necessities,74,302000,False,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4,alternative
10836,3znXFNvAksDOcW95Zz3K1K,Force Mass Motion,Motions Beyond,Fantasy,11,522866,False,0.601,0.75,9,-11.947,1,0.0419,0.0608,0.374,0.0639,0.222,132.004,4,breakbeat
3434,0hPjv7ShJQkoZM8JiBnTqa,Jimmy Eat World,Rock n Roll Christmas,Last Christmas,0,267493,False,0.532,0.842,2,-6.152,1,0.0403,0.00131,1.2e-06,0.33,0.715,126.042,4,alternative
3744,0SLjeqwh5iy8DZcaGNIaHJ,Faith No More,Timeless Rock Hits,King for a Day,1,395093,False,0.421,0.871,11,-9.193,1,0.0351,0.00608,0.411,0.19,0.384,102.383,4,alternative
1617,43OczYqGoSzZAXpa3VntDY,Alogte Oho & His Sounds of Joy,Mam Yinne Wa,Allema Timba,18,279595,False,0.631,0.458,5,-8.889,0,0.0327,0.384,0.0316,0.186,0.945,141.12,4,afrobeat
6017,4AP3a7eEOlz5sTJiWnv2C6,Mayhem,De Mysteriis Dom Sathanas,Freezing Moon,56,383053,False,0.168,0.974,4,-9.116,1,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,4,black-metal
8970,107K6xieSp2ihzoA2vTv2q,Blind Faith,Blind Faith,Can't Find My Way Home,54,196133,False,0.561,0.257,7,-17.417,1,0.0343,0.858,0.00185,0.0949,0.579,88.276,4,blues
9007,2QGuFhaQDrGKqtkOgItDJS,Charlie Brown Jr.,Acústico (Ao Vivo),Zoio De Lula - Ao Vivo,55,224973,False,0.632,0.866,1,-5.445,0,0.0488,0.0556,5.75e-06,0.518,0.835,87.785,4,brazil
9226,0VlvuqnBF8VRqT4iV1HekA,Sabotage;Negra Li,Rap É Compromisso (Edição Comemorativa),No Brooklin,49,347213,False,0.899,0.538,7,-9.458,1,0.466,0.0264,0.0,0.101,0.864,88.268,4,brazil
4812,4WrzZAsZQOPwbUgSqrNgp2,Fejká;Rökkurró,Reunion,Svanur (feat. Rökkurró),43,296585,False,0.666,0.518,6,-10.387,1,0.035,0.0646,0.825,0.152,0.277,122.998,4,ambient
2162,3U6726RPDdw6JshdT9fGFM,KALEO,Relaxing Pop,Way Down We Go,1,213706,False,0.492,0.506,10,-8.022,0,0.118,0.58,0.00032,0.104,0.338,163.522,4,alt-rock
1392,3dvYujyJXn2fuNalpg6r0E,Femi Kuti,Hôtel Costes 2 - La Suite,Sorry Sorry - Old School Afro Dub,21,444159,False,0.763,0.871,4,-8.779,0,0.055,0.0238,0.14,0.438,0.618,101.199,4,afrobeat
2272,2s0QwtFt0lBDGPCnJeDvJz,Smash Mouth,Halloween 2022,All Star,0,200373,False,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,4,alt-rock
9430,2ZTSHv3PqWhqU4TN1i2z6W,Camila Holanda,Te Imitarei,Regaço Acolhedor,45,179828,False,0.328,0.309,2,-7.732,1,0.0276,0.867,0.0,0.0889,0.204,99.182,4,brazil
11126,48KgRMAaYReGuflL8bt6Za,Lianne La Havas,rainy day indie,Bittersweet,0,236640,False,0.57,0.409,5,-7.555,0,0.0331,0.345,0.000188,0.219,0.304,137.8,4,british
3479,4haXv9IJwOlJJsT6FNJPYk,Jimmy Eat World,Обратно в клас - rock,The Middle,0,166040,False,0.644,0.848,2,-5.385,1,0.0529,0.0358,0.0,0.0676,0.928,162.151,4,alternative
5930,4CcLHdPVxsePAnX7NzfgxT,Jake Eaw,"Spring 2021 Anime Piano, Vol. 2",Hands Up To The Sky,45,80419,False,0.51,0.269,4,-18.953,1,0.0404,0.957,0.955,0.111,0.26,98.006,4,anime
2957,1f2V8U1BiWaC9aJWmpOARe,Red Hot Chili Peppers,By the Way (Deluxe Edition),By the Way,75,216933,False,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4,alt-rock
9868,3FZAY3qD4iyJUgaR1ZlABZ,Missionário Shalom;Thiago Brado,Suficiente para Mim,Suficiente para Mim,43,313133,False,0.325,0.346,2,-8.083,1,0.033,0.629,0.0,0.107,0.36,100.116,4,brazil
8257,0QULNNd9z5s35entfiiXoa,Elle King;Miranda Lambert,Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home),75,245625,False,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,4,blues
8504,12pdXFcruNcPUbZypKUDgz,Cold War Kids,LA DIVINE,Love Is Mystical,60,214360,False,0.567,0.863,7,-5.158,0,0.037,0.00462,4.77e-05,0.207,0.722,106.03,4,blues
4845,3qxNT7aipw9k0RSFxbzV8O,Morten Myklebust,Break Up,Heartbroken,25,245554,False,0.567,0.476,5,-9.166,1,0.0294,0.527,0.603,0.103,0.279,126.602,4,ambient
